pregão,ano,número,cpf_cnpj,fornecedor,objeto,valor,assinatura,inicio_vigencia,fim_vigencia,
20/2022,2022,108/2022,36.336.388/0001-43,REGINA CELIA CUNHA DE SOUSA,PERIFÉRICOS DE INFORMÁTICA, R$ 294,0,08/11/2022,não informado,não informado
32/2022,2022,01/2023,07.944.100/0001-15,PROC9 INDÚSTRIA QUIMÍCA LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 17.240,0,11/01/2023,08/02/2023,08/02/2024
32/2022,2022,02/2023,08.347.008/0001-30,FERMASIL COMERCIO LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 48.170,0,20/01/2023,08/02/2023,08/02/2024
32/2022,2022,03/2023,10.468.162/0001-02,FARMACEUTICA DISTRIBUIDORA LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 13.440,0,12/01/2023,08/02/2023,08/02/2024
32/2022,2022,04/2023,19.026.964/0001-37,ILMA CHAVES PEREIRA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 202.188,0,11/01/2023,08/02/2023,08/02/2024
32/2022,2022,05/2023, 19.785.718/0001-69,L. N. RODRIGUES DISTRIBUIDORA DE PRODUTOS ORTOPÉDICOS LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 45.378,0,16/01/2023,08/02/2023,08/02/2024
32/2022,2022,06/2023,34.577.439/0001-01,BRASIL SHOPPING LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 940,0,18/01/2023,08/02/2023,08/02/2024
32/2022,2022,07/2023,40.949.490/0001-91,A L F SILVA & CIA LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 17.064,0,NÃO CONSTA DATA,08/02/2023,08/02/2024
32/2022,2022,08/2023,41.391.445/0001-27,EXITO SOLUCOES DE SERVICOS E COMERCIO LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 83.565,0,19/01/2023,08/02/2023,08/02/2024
32/2022,2022,09/2023,44.219.136/0001-62,ATLAS EQUIPAMENTOS LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 8.844,0,12/01/2023,08/02/2023,08/02/2024
32/2022,2022,10/2023,45.838.204/0001-34,MEDPRIME DISTRIBUIDORA DE MEDICAMENTOS E INSUMOS HOSPITALARES LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 14.598,0,NÃO CONSTA DATA,08/02/2023,08/02/2024
06/2023,2023,59/2023,10.468.162/0001-02,FARMACEUTICA DISTRIBUIDORA LTDA,MEDICAMENTO HUMANO, R$ 29.555,0,20/06/2023,21/08/2023,21/08/2024
06/2023,2023,60/2023,23.420.875/0001-48,M. VALENCIA - PRODUTOS HOSPITALARES,MEDICAMENTO HUMANO, R$ 27.017,60,20/06/2023,21/08/2023,21/08/2024
06/2023,2023,61/2023,34.875.727/0001-34,LOBATO COMERCIO DE PRODUTOS HOSPITALARES,MEDICAMENTO HUMANO, R$ 85.100,40,20/06/2023,21/08/2023,21/08/2024
06/2023,2023,62/2023,40.274.237/0001-85,CLM FARMA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA,MEDICAMENTO HUMANO, R$ 38.752,50,26/06/2023,21/08/2023,21/08/2024
